country,dataset_name,cleaned_filename,data_type,stock_code,category
US,H2M,2013_07-12,Train,AAPL,一般交易
US,H2M,2013_07-12,Train,MSFT,一般交易
US,H2M,2013_07-12,Train,UNH,一般交易
US,H2M,2013_07-12,Train,WMT,一般交易
US,H2M,2013_07-12,Train,JPM,一般交易
US,H2M,2013_07-12,Train,HD,一般交易
US,H2M,2013_07-12,Train,DIS,一般交易
US,H2M,2013_07-12,Train,CRM,一般交易
US,H2M,2013_07-12,Train,GS,一般交易
US,H2M,2013_07-12,Train,BA,一般交易
US,H2M,2013_07-12,Train,MMM,一般交易
US,H2M,2013_07-12,Train,DD,一般交易
US,H2M,2013_07-12,Train,JNJ,融券交易
US,H2M,2013_07-12,Train,MRK,融券交易
US,H2M,2013_07-12,Train,CSCO,融券交易
US,H2M,2013_07-12,Train,MCD,融券交易
US,H2M,2013_07-12,Train,VZ,融券交易
US,H2M,2013_07-12,Train,HON,融券交易
US,H2M,2013_07-12,Train,IBM,融券交易
US,H2M,2013_07-12,Train,CAT,融券交易
US,H2M,2013_07-12,Train,AAPL,融券交易
US,H2M,2013_07-12,Train,MSFT,融券交易
US,H2M,2013_07-12,Train,UNH,融券交易
US,H2M,2013_07-12,Train,WMT,融券交易
US,H2M,2013_07-12,Train,JPM,融券交易
US,H2M,2013_07-12,Train,HD,融券交易
US,H2M,2013_07-12,Train,DIS,融券交易
US,H2M,2013_07-12,Train,CRM,融券交易
US,H2M,2013_07-12,Train,GS,融券交易
US,H2M,2013_07-12,Train,BA,融券交易
US,H2M,2013_07-12,Train,MMM,融券交易
US,H2M,2013_07-12,Train,DD,融券交易
US,H2M,2013_07-12,Train,JNJ,融券交易
US,H2M,2013_07-12,Train,MRK,融券交易
US,H2M,2013_07-12,Train,CSCO,融券交易
US,H2M,2013_07-12,Train,MCD,融券交易
US,H2M,2013_07-12,Train,VZ,融券交易
US,H2M,2013_07-12,Train,HON,融券交易
US,H2M,2013_07-12,Train,IBM,融券交易
US,H2M,2013_07-12,Train,CAT,融券交易
