country,dataset_name,cleaned_filename,data_type,stock_code,category
US,Y2Q,2018_Q2~2019_Q1,Train,MSFT,一般交易
US,Y2Q,2018_Q2~2019_Q1,Train,UNH,一般交易
US,Y2Q,2018_Q2~2019_Q1,Train,V,一般交易
US,Y2Q,2018_Q2~2019_Q1,Train,JPM,一般交易
US,Y2Q,2018_Q2~2019_Q1,Train,PG,一般交易
US,Y2Q,2018_Q2~2019_Q1,Train,MRK,一般交易
US,Y2Q,2018_Q2~2019_Q1,Train,CSCO,一般交易
US,Y2Q,2018_Q2~2019_Q1,Train,NKE,一般交易
US,Y2Q,2018_Q2~2019_Q1,Train,VZ,一般交易
US,Y2Q,2018_Q2~2019_Q1,Train,HON,一般交易
US,Y2Q,2018_Q2~2019_Q1,Train,BA,一般交易
US,Y2Q,2018_Q2~2019_Q1,Train,AAPL,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,CVX,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,HD,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,KO,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,IBM,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,GS,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,INTC,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,AXP,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,MMM,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,TRV,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,DD,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,WBA,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,MSFT,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,UNH,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,V,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,JPM,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,PG,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,MRK,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,CSCO,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,NKE,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,VZ,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,HON,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,BA,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,AAPL,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,CVX,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,HD,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,KO,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,IBM,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,GS,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,INTC,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,AXP,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,MMM,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,TRV,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,DD,融券交易
US,Y2Q,2018_Q2~2019_Q1,Train,WBA,融券交易
