country,dataset_name,cleaned_filename,data_type,stock_code,category
US,H2M,2017_01-06,Train,JNJ,一般交易
US,H2M,2017_01-06,Train,V,一般交易
US,H2M,2017_01-06,Train,WMT,一般交易
US,H2M,2017_01-06,Train,JPM,一般交易
US,H2M,2017_01-06,Train,PG,一般交易
US,H2M,2017_01-06,Train,HD,一般交易
US,H2M,2017_01-06,Train,MCD,一般交易
US,H2M,2017_01-06,Train,DIS,一般交易
US,H2M,2017_01-06,Train,BA,一般交易
US,H2M,2017_01-06,Train,MMM,一般交易
US,H2M,2017_01-06,Train,DD,一般交易
US,H2M,2017_01-06,Train,UNH,融券交易
US,H2M,2017_01-06,Train,KO,融券交易
US,H2M,2017_01-06,Train,CSCO,融券交易
US,H2M,2017_01-06,Train,VZ,融券交易
US,H2M,2017_01-06,Train,HON,融券交易
US,H2M,2017_01-06,Train,IBM,融券交易
US,H2M,2017_01-06,Train,GS,融券交易
US,H2M,2017_01-06,Train,INTC,融券交易
US,H2M,2017_01-06,Train,TRV,融券交易
US,H2M,2017_01-06,Train,WBA,融券交易
US,H2M,2017_01-06,Train,JNJ,融券交易
US,H2M,2017_01-06,Train,V,融券交易
US,H2M,2017_01-06,Train,WMT,融券交易
US,H2M,2017_01-06,Train,JPM,融券交易
US,H2M,2017_01-06,Train,PG,融券交易
US,H2M,2017_01-06,Train,HD,融券交易
US,H2M,2017_01-06,Train,MCD,融券交易
US,H2M,2017_01-06,Train,DIS,融券交易
US,H2M,2017_01-06,Train,BA,融券交易
US,H2M,2017_01-06,Train,MMM,融券交易
US,H2M,2017_01-06,Train,DD,融券交易
US,H2M,2017_01-06,Train,UNH,融券交易
US,H2M,2017_01-06,Train,KO,融券交易
US,H2M,2017_01-06,Train,CSCO,融券交易
US,H2M,2017_01-06,Train,VZ,融券交易
US,H2M,2017_01-06,Train,HON,融券交易
US,H2M,2017_01-06,Train,IBM,融券交易
US,H2M,2017_01-06,Train,GS,融券交易
US,H2M,2017_01-06,Train,INTC,融券交易
US,H2M,2017_01-06,Train,TRV,融券交易
US,H2M,2017_01-06,Train,WBA,融券交易
